,0,1,2,3,4,5,6,7,8,9,10
0,0.67,0.82,0.75,0.73,0.71,0.75,0.54,0.61,0.59,0.6,0.68
1,0.64,0.76,0.74,0.73,0.7,0.74,0.56,0.63,0.59,0.62,0.67
2,0.78,0.93,0.77,0.74,0.73,0.76,0.41,0.55,0.58,0.51,0.68
3,0.7,0.84,0.75,0.73,0.71,0.75,0.47,0.59,0.58,0.56,0.67
4,0.76,0.87,0.82,0.8,0.76,0.8,0.49,0.69,0.64,0.6,0.72
