,0,1,2,3,4,5,6,7,8,9,10
0,0.86,0.83,0.84,0.85,0.82,0.88,0.79,0.88,0.82,0.82,0.84
1,0.84,0.84,0.88,0.89,0.89,0.88,0.86,0.89,0.85,0.86,0.87
2,0.89,0.83,0.78,0.81,0.73,0.88,0.69,0.86,0.78,0.77,0.8
3,0.87,0.83,0.83,0.85,0.8,0.88,0.76,0.88,0.82,0.81,0.83
4,0.86,0.83,0.84,0.85,0.82,0.88,0.79,0.88,0.82,0.82,0.84
