G.Av path,G.Assort d,G.Trans,G.Trans Avg,G.Reciprocity,N.StrngA,N.StrngB,N.PagerankA,N.PagerankB,N.HarmCenA,N.HarmCenB,N.EigenCenA,N.EigenCenB,N.EccentrA,N.EccentrB,N.CorenessA,N.CorenessB,N.BetweennA,N.BetweennB,N.HubScoreA,N.HubScoreB,N.AuthScoreA,N.AuthScoreB,Rating
3.9681445975634113,-0.03027326409806289,0.11611030478955008,0.22216631423669764,0.421875,1.0,3.0,0.0017746147135562346,0.0018018873799111957,0.15521594684385373,0.20077519379844985,0.006572562154363627,0.032069543846069706,0.0,7.0,1,2,0.0,122.0,3.1435631747677896e-17,0.057848790263636735,0.005053736981265315,0.06881221966725765,1
3.9770137719211336,-0.030230463993877323,0.11611030478955008,0.22216631423669764,0.421875,1.0,1.0,0.0018693636337331879,0.0010104668290449666,0.004651162790697674,0.004651162790697674,1.4010519560540585e-17,2.439395407918532e-17,0.0,1.0,1,1,0.0,0.0,3.1437299732735113e-17,2.5149839786188093e-17,1.7250042963910956e-17,2.7600068742257528e-17,1
3.9770137719211336,-0.030230463993877323,0.11611030478955008,0.22216631423669764,0.421875,1.0,1.0,0.0018693636337331879,0.0010104668290449666,0.004651162790697674,0.004651162790697674,0.0,0.0,0.0,1.0,1,1,0.0,0.0,2.51498397861881e-17,1.8862379839641073e-17,1.7250042963910956e-17,2.7600068742257528e-17,1
3.977209671026556,-0.027569558630572578,0.11656143759106362,0.22233165815204156,0.4270833333333333,0.0,9.0,0.0010055726247308896,0.04217995548995544,0.0,0.27379844961240374,0.0,0.189688483117921,0.0,1.0,0,3,0.0,128.0,4.407307557752009e-17,4.0295383385161226e-16,2.7584577817889382e-17,0.19188715655721342,1
3.977209671026556,-0.027569558630572578,0.1151603498542274,0.21374380887046854,0.4270833333333333,1.0,9.0,0.003975982335601694,0.033838919070334136,0.22426356589147275,0.2761240310077526,0.07494929028154977,0.17365476463269852,0.0,1.0,1,3,0.0,128.0,0.0,0.0,0.041294323915427734,0.19188715655721333,1
3.977209671026556,-0.027569558630572578,0.11656143759106362,0.22233165815204156,0.4270833333333333,0.0,9.0,0.0010055726247308896,0.04217995548995544,0.0,0.27379844961240374,0.0,0.18968848311792122,0.0,1.0,0,3,0.0,128.0,4.4073075577520097e-17,2.518461461572577e-16,2.7584577817889382e-17,0.19188715655721342,1
3.960076236332631,-0.030230463993877323,0.11611030478955008,0.22216631423669764,0.421875,2.0,1.0,0.004182802188566209,0.0010235746767044201,0.1871317829457369,0.14704318936877073,0.048089141435844994,0.0,0.0,1.0,1,1,0.0,0.0,1.2574919893094039e-17,0.0003127958418874474,0.001078136920492231,3.450008592782191e-18,1
3.969839209028263,-0.03027326409806289,0.11616650532429816,0.22450490701813655,0.4270833333333333,0.0,2.0,0.0010044249047821226,0.003815141146636736,0.0,0.21454042081949057,2.5074940956739163e-18,0.1852368218121349,0.0,7.0,0,2,0.0,0.0,7.544573616916296e-17,0.15605822647882456,1.3798868852020766e-17,0.05797565730334059,1
3.9770137719211336,-0.029563576058255655,0.11611030478955008,0.22216631423669764,0.421875,1.0,2.0,0.0026102244675248474,0.0018771293546825918,0.0069767441860465115,0.009302325581395349,1.242262376084819e-17,1.1194037765260684e-17,0.0,1.0,1,1,0.0,1.0,6.287459946547028e-17,1.1317427903784649e-16,1.3800034371128777e-17,2.7600068742257553e-17,1
3.9751323279736344,-0.02745527704838966,0.11661807580174927,0.2223977957181791,0.4270833333333333,0.0,9.0,0.0010044051100617857,0.009258658618261811,0.0,0.29023255813953547,1.3321618173853333e-17,0.021302150492013387,0.0,6.0,0,4,0.0,496.3095238095238,3.14361966990633e-17,0.7194293585368599,6.9008188418818844e-18,0.06048674653405633,-1
3.9770137719211336,-0.030230463993877323,0.11611030478955008,0.22216631423669764,0.4270833333333333,0.0,0.0,0.0010007256021286,0.0010007256021286,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2.5149839786188093e-17,2.5149839786188093e-17,1.0350025778346579e-17,1.0350025778346579e-17,1
3.9770137719211336,-0.030230463993877323,0.11611030478955008,0.22216631423669764,0.4270833333333333,0.0,0.0,0.0010007256021286,0.0010007256021286,0.0,0.0,1.2037626340815675e-18,1.2037626340815675e-18,0.0,0.0,0,0,0.0,0.0,5.658713951892324e-17,5.658713951892324e-17,1.0350025778346579e-17,1.0350025778346579e-17,1
3.9770137719211336,-0.030230463993877323,0.11611030478955008,0.22216631423669764,0.421875,1.0,1.0,0.0018693636337331879,0.0010104668290449666,0.004651162790697674,0.004651162790697674,1.6049536883743353e-18,9.326547804082847e-18,0.0,1.0,1,1,0.0,0.0,5.0299679572376186e-17,4.4012219625829166e-17,2.415006014947535e-17,3.4500085927821924e-17,1
3.978527913712174,-0.02846838690257378,0.1166747690811862,0.22250301457339797,0.4270833333333333,0.0,12.0,0.0010044267147744027,0.008280047187412836,0.0,0.2941085271317837,4.693264082732791e-19,0.15681794315834008,0.0,5.0,0,5,0.0,762.5972222222218,7.542170815268871e-17,0.8927580301181479,6.9003178147820375e-18,0.16961767467622338,1
3.9751323279736344,-0.02745527704838966,0.11661807580174927,0.2223977957181791,0.4270833333333333,0.0,9.0,0.0010044051100617857,0.009258658618261811,0.0,0.29023255813953547,1.1493726039149001e-17,0.02130215049201327,0.0,6.0,0,4,0.0,496.3095238095238,1.886171801943797e-17,0.7194293585368595,6.9008188418818844e-18,0.06048674653405633,1
