,0,1,2,3,4,5,6,7,8,9,10
0,0.75,0.89,0.96,0.93,0.9,0.9,0.91,0.93,0.89,0.82,0.89
1,0.68,0.88,0.99,0.96,0.97,0.93,0.94,0.96,0.91,0.91,0.91
2,0.94,0.93,0.86,0.9,0.8,0.84,0.83,0.89,0.88,0.74,0.86
3,0.77,0.91,0.94,0.92,0.9,0.9,0.89,0.93,0.89,0.8,0.88
4,0.77,0.93,0.93,0.94,0.88,0.89,0.91,0.92,0.9,0.82,0.89
