,0,1,2,3,4,5,6,7,8,9,10
0,0.83,0.96,0.98,0.97,0.95,0.98,0.91,0.97,0.95,0.9,0.94
1,0.77,0.96,1.0,0.98,1.0,0.97,0.98,0.99,0.99,0.98,0.96
2,0.95,0.97,0.95,0.95,0.89,0.99,0.85,0.95,0.9,0.82,0.92
3,0.86,0.97,0.98,0.96,0.95,0.98,0.91,0.97,0.94,0.88,0.94
4,0.95,0.99,1.0,0.99,1.0,1.0,0.99,1.0,0.99,0.96,0.99
